"key","en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb"
"Displays all the tags about the products","Displays all the tags about the products","Toont alle labels over de producten","Muestra todas las etiquetas sobre los productos","显示所有关于产品标签","Zeigt alle Tags zu den Produkten","Affiche toutes les balises sur les produits","Visualizza tutti i tag sui prodotti","Exibe todas as tags sobre os produtos","Εμφανίζει όλες τις ετικέτες για τα προϊόντα","Wyświetla wszystkie znaczniki o produktach","Viser alle mærker om produkterne","Näyttää kaikki tagit tuotteista","Viser alle kodene om produktene","يعرض جميع العلامات حول المنتجات","제품에 대한 모든 태그를 표시","製品に関するすべてのタグを表示します","מציג את כל התגים על המוצרים","Visar alla taggarna om produkterna","Zobrazí všechny tagy o produktech","Отображает все теги о продуктах","Nagpapakita ang lahat ng mga tag tungkol sa mga produkto","Nagpasundayag sa tanan nga mga tag bahin sa mga produkto"
"Displays description and other information about a Block.","Displays description and other information about a Block.","Displays beschrijving en andere informatie over een Block.","Muestra la descripción y otra información acerca de un bloque.","显示说明和有关块的其他信息。","Zeigt die Beschreibung und andere Informationen über einen Block.","Affiche la description et d'autres informations à propos d'un bloc.","Visualizza descrizione e altre informazioni su un blocco.","Displays descrição e outras informações sobre um bloco.","Εμφανίζει την περιγραφή και άλλες πληροφορίες σχετικά με ένα μπλοκ.","Opis wyświetlacze i inne informacje o bloku.","Viser beskrivelse og andre oplysninger om en blok.","Näyttää kuvauksen ja muita tietoja Block.","Viser beskrivelse og annen informasjon om en blokk.","يعرض وصف ومعلومات أخرى عن كتلة.","표시 설명 및 차단에 대한 기타 정보.","ブロックについての説明やその他の情報を表示します。","תיאור מציג ומידע נוסף על בלוק.","Visar beskrivning och annan information om en grupp.","Zobrazuje popis a další informace o bloku.","Отображает описание и другая информация о блоке.","Paglalarawan Ipinapakita at iba pang mga impormasyon tungkol sa isang block.","Pagpasundayag paghulagway ug uban pang mga impormasyon mahitungod sa usa ka Block."
"Displays description and other information about a table.","Displays description and other information about a table.","Displays beschrijving en andere informatie over een tafel.","Muestra la descripción y otra información sobre una mesa.","显示说明和有关表等信息。","Zeigt die Beschreibung und andere Informationen über eine Tabelle.","Affiche la description et d'autres renseignements sur une table.","Visualizza descrizione e altre informazioni su un tavolo.","Displays descrição e outras informações sobre uma mesa.","Εμφανίζει την περιγραφή και άλλες πληροφορίες σχετικά με το τραπέζι.","Opis wyświetlacze i inne informacje na temat tabeli.","Viser beskrivelse og andre oplysninger om et bord.","Näyttää kuvauksen ja muita tietoja pöytä.","Viser beskrivelse og annen informasjon om et bord.","يعرض وصف ومعلومات أخرى حول طاولة.","표시 설명과 테이블에 대한 기타 정보.","表についての説明やその他の情報を表示します。","תיאור תצוגות ומידע אחר על שולחן.","Visar beskrivning och annan information om en tabell.","Zobrazuje popis a další informace o tabulky.","Дисплеи Описание и другая информация о таблице.","Paglalarawan Ipinapakita at iba pang mga impormasyon tungkol sa isang table.","Pagpasundayag paghulagway ug uban pang mga impormasyon mahitungod sa usa ka lamesa."
"Displays description and other information about a URL.","Displays description and other information about a URL.","Displays beschrijving en andere informatie over een URL.","Muestra la descripción y otra información sobre una URL.","显示说明和有关的URL等信息。","Zeigt die Beschreibung und andere Informationen zu einem URL.","Affiche la description et d'autres renseignements sur une URL.","Visualizza descrizione e altre informazioni su un URL.","Displays descrição e outras informações sobre um URL.","Εμφανίζει την περιγραφή και άλλες πληροφορίες σχετικά με μια διεύθυνση URL.","Opis wyświetlacze i inne informacje o adresie URL.","Viser beskrivelse og andre oplysninger om en URL.","Näyttää kuvauksen ja muita tietoja URL.","Viser beskrivelse og annen informasjon om en URL.","يعرض وصف ومعلومات أخرى عن URL.","표시 설명 및 URL에 대한 기타 정보.","URLに関する説明やその他の情報を表示します。","תיאור מציג ומידע נוסף על כתובת אתר.","Visar beskrivning och annan information om en URL.","Zobrazuje popis a další informace o URL.","Отображает описание и другая информация о URL.","Paglalarawan Ipinapakita at iba pang mga impormasyon tungkol sa isang URL.","Pagpasundayag paghulagway ug uban pang mga impormasyon mahitungod sa usa ka URL."
"Displays the best seller products.","Displays the best seller products.","Geeft de beste verkopende producten.","Muestra los productos más vendidos.","显示最畅销的产品。","Zeigt die Bestseller Produkte.","Affiche les meilleurs produits les plus vendus.","Consente di visualizzare i migliori prodotti seller.","Exibe os melhores produtos do vendedor.","Εμφανίζει τα καλύτερα προϊόντα πωλητή.","Wyświetla najlepsze produkty sprzedającego.","Viser den bedste sælger produkter.","Näyttää paras myyjä tuotteet.","Viser de beste selger produkter.","يعرض المنتجات الأكثر مبيعا.","베스트 셀러 제품을 표시합니다.","ベストセラーの製品を表示します。","מציג את המוצרים הטובים ביותר המוכר.","Visar de bästa säljare produkter.","Zobrazí nejlepší prodejce výrobků.","Отображает самые лучшие продукты продавец.","Nagpapakita ang pinakamahusay na mga produkto nagbebenta.","Nagpasundayag sa sa labing maayo nga magbabaligya produkto."
"Displays the descriptions and values of the enumeration type. ","Displays the descriptions and values of the enumeration type. ","Geeft de beschrijvingen en waarden van het type opsomming.","Muestra las descripciones y los valores del tipo enumeración.","显示枚举类型的说明和值。","Zeigt die Beschreibungen und Werte des Aufzählungstyp.","Affiche les descriptions et les valeurs du type d'énumération.","Consente di visualizzare le descrizioni ei valori del tipo di enumerazione.","Exibe as descrições e valores do tipo de enumeração.","Εμφανίζει τις περιγραφές και τις αξίες του τύπου απαρίθμησης.","Wyświetla opisy i wartości typu wyliczenia.","Viser de beskrivelser og værdier tælling typen.","Näyttää kuvaukset ja arvot luettelointia tyyppiä.","Viser beskrivelser og verdier av oppregning type.","يعرض الأوصاف والقيم من نوع التعداد.","열거 형의 설명과 값을 표시합니다.","列挙型の説明と値を表示します。","מציג את התיאורים וערכים מסוג הספירה.","Visar beskrivningar och värderingar uppräkningstypen.","Zobrazí popisy a hodnoty typu výčtu.","Отображение описания и значения перечислимого типа.","Ipinapakita ang mga paglalarawan at mga halaga ng mga uri ng pag-isa isa.","Pagpakita sa mga paghulagway ug mga prinsipyo sa enumeration matang."
"displays the form containing survey questions. ","displays the form containing survey questions. ","toont het formulier met enquêtevragen.","muestra el formulario que contiene preguntas de la encuesta.","显示包含调查问卷的形式。","zeigt das Formular mit Befragt werden.","affiche le formulaire contenant des questions de l'enquête.","visualizza il modulo contenente domande del sondaggio.","exibe o formulário contendo perguntas da pesquisa.","εμφανίζει τη μορφή που περιέχουν ερωτήσεις της έρευνας.","wyświetla formularz zawierający pytania ankietowe.","viser form, som indeholder undersøgelsens spørgsmål.","näyttää, joka sisältää kyselyihin.","viser skjemaet inneholder spørsmål i undersøkelsen.","يعرض نموذج يحتوي على أسئلة الاستطلاع.","설문 조사 질문이 포함 된 양식을 표시합니다.","調査の質問を含むフォームを表示します。","מציג את הטופס המכיל שאלות סקר.","visar form som innehåller enkätfrågor.","zobrazí formulář obsahující otázky průzkumu.","отображает форму, содержащую вопросы анкеты.","ipinapakita ang form na naglalaman ng mga katanungan survey.","nagpasundayag sa porma nga adunay sulod nga survey nga mga pangutana."
"Displays the item or value that matches the searched text.","Displays the item or value that matches the searched text.","Geeft het item of de waarde die de gezochte tekst overeenkomt.","Muestra el elemento o valor que coincide con el texto buscado.","显示搜索到的文本相匹配的项目或数值。","Zeigt die Position oder Wert, der den gesuchten Text übereinstimmt.","Affiche l'élément ou une valeur qui correspond au texte recherché.","Consente di visualizzare l'elemento o un valore che corrisponde al testo cercato.","Exibe o item ou valor que corresponde ao texto pesquisado.","Εμφανίζει το στοιχείο ή την αξία που ταιριάζει με την αναζήτηση κειμένου.","Wyświetla element lub wartość odpowiadającą poszukiwany tekst.","Viser elementet eller værdi, der svarer til den søgte tekst.","Näyttää kohteen tai arvo, joka vastaa etsitään tekstiä.","Viser element eller en verdi som tilsvarer søkte teksten.","يعرض هذا البند أو القيمة التي تطابق النص البحث.","검색 텍스트와 일치하는 항목이나 값을 표시합니다.","検索テキストに一致する項目や数値を表示します。","מציג את הפריט או ערך שמתאים לטקסט חיפש.","Visar alternativ eller ett värde som motsvarar den sökta texten.","Zobrazí položku nebo hodnotu, která odpovídá hledaný text.","Отображает элемент или значение, что соответствует найденный текст.","Ipinapakita ang mga item o halaga na tumutugma sa hinanap text.","Nagpasundayag sa mga butang o sa bili nga motakdo sa gipangita nga teksto."
"Displays the list of product reviews of the customer . It provides also a form for the customer to be used in submitting the new product review.","Displays the list of product reviews of the customer . It provides also a form for the customer to be used in submitting the new product review.","Toont de lijst van de product reviews van de klant. Het geeft ook een vorm voor de klant te gebruiken indiening het nieuwe product.","Muestra la lista de comentario del cliente. Proporciona también una forma para que el cliente puede utilizar en la presentación de la nueva revisión del producto.","显示了客户对产品的评论列表。它提供了也可用于在提交新产品，用于审查客户的形式。","Zeigt die Liste der Bewertungen des Kunden. Es bietet auch eine Form für den Kunden bei der Vorlage der neuen Artikelbewertung verwendet werden.","Affiche la liste des avis sur les produits du client. Il fournit également un formulaire pour le client d'être utilisé dans la présentation de la nouvelle revue de produit.","Visualizza l'elenco di recensioni di prodotti del cliente. Esso fornisce anche una forma per il cliente di utilizzare nel sottoporre la revisione nuovo prodotto.","Exibe a lista de produtos avaliados do cliente. Ele também fornece uma forma para o cliente a utilizar na apresentação da nova revisão do produto.","Εμφανίζει τη λίστα κριτικές για το προϊόν του πελάτη. Παρέχει επίσης μια μορφή για τον πελάτη που θα χρησιμοποιηθεί για την υποβολή του νέου εξέταση προϊόν.","Wyświetla listę produktów opinii klienta. Zapewnia również formularz dla klienta, aby być stosowane w składaniu opinię o produkcie.","Viser listen over anmeldelser af kunden. Det giver også en form for kunden, der skal bruges i forbindelse med afgivelse det nye produkt gennemgang.","Näyttää luettelon tuotearvioita asiakkaan. Se tarjoaa myös lomakkeen asiakkaalle voidaan käyttää lähettämällä uuden tuotteen tarkastelu.","Viser listen over produktomtaler av kunden. Det gir også en form for kunden som skal brukes i å sende den nye produkt vurdering.","يعرض قائمة من المنتجات الاستعراضات من العملاء. كما يوفر نموذج للعميل لاستخدامها في تقديم استعراض المنتج الجديد.","고객의 제품 리뷰의 목록을 표시합니다. 그것은 또한 고객이 새로운 제품 리뷰 제출에 사용될위한 형태를 제공한다.","顧客の製品レビューの一覧を表示します。また、新製品のレビューを提出に使用する顧客のためのフォームを提供します。","מציג את רשימת ביקורות מוצר של הלקוח. הוא מספק גם טופס ללקוחות לשימוש בהגשת סקירת המוצר החדש.","Visar listan över recensioner av kunden. Det ger också en form för kunden som ska användas för att avge den nya produkten översyn.","Zobrazí seznam hodnocení výrobků zákazníka. Poskytuje také formulář pro zákazníka, které mají být použity v předložení novou recenzi produktu.","Отображает список обзоров продукции заказчика. Он обеспечивает также форму для клиента, чтобы использовать в представлении нового отзыва продукта.","Ipinapakita ang listahan ng mga review ng produkto sa mga customer. Nagbibigay din ito ng isang form para sa mga customer na gagamitin sa pagsusumite ng mga bagong pagsusuri ng produkto.","Pagpakita sa listahan sa mga produkto reviews sa mga customer. Kini naghatag og usab sa usa ka porma sa customer nga gigamit sa pagtugyan sa mga bag-o nga produkto review."
"Displays the most interesting products.","Displays the most interesting products.","Toont de meest interessante producten.","Muestra los productos más interesantes.","显示了最有趣的产品。","Zeigt die interessantesten Produkte.","Affiche les produits les plus intéressants.","Consente di visualizzare i prodotti più interessanti.","Exibe os produtos mais interessantes.","Εμφανίζει τα πιο ενδιαφέροντα προϊόντα.","Wyświetla najciekawsze produkty.","Viser de mest interessante produkter.","Näyttää kiinnostavimpia tuotteita.","Viser de mest interessante produktene.","يعرض المنتجات الأكثر إثارة للاهتمام.","가장 흥미로운 제품을 표시합니다.","最も興味深い製品を表示します。","מציג את המוצרים המעניינים ביותר.","Visar de mest intressanta produkterna.","Zobrazuje nejzajímavější produkty.","Отображает наиболее интересные продукты.","Ipinapakita ang mga pinaka-interesante mga produkto.","Nagpasundayag sa labing makapaikag nga mga produkto."
