"en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb"
"*TO DO.","*TE DOEN.","*HACER.","*去做。","*TUN.","*FAIRE.","*DA FARE.","*FAÇAM.","*ΝΑ ΚΆΝΩ.","*DO ZROBIENIA.","*AT GØRE.","*TEHDÄ.","*Å GJØRE.","*لكى يفعل.","*이해야 할 일.","*することができません。","*לעשות.","*ATT GÖRA.","*DĚLAT.","*ДЕЛАТЬ.","*GAGAWIN.","* SA PAGBUHAT."
"Determines how the currency unit is shown and placed.","Bepaalt hoe de munteenheid wordt getoond en geplaatst.","Determina cómo se muestra la unidad monetaria y se coloca.","确定货币单位是如何显示和放置。","Bestimmt, wie die Währungseinheit gezeigt und platziert wird.","Détermine la façon dont l'unité monétaire est affiché et placé.","Determina come l'unità monetaria è mostrato e messo.","Determina como a unidade monetária é mostrado e colocado.","Καθορίζει τον τρόπο η νομισματική μονάδα εμφανίζεται και τοποθετείται.","Określa, w jaki sposób jednostka walutowa jest pokazany i umieszczone.","Bestemmer, hvordan møntenhed vises og placeres.","Määrittää, miten rahayksikön näkyy ja asetetaan.","Bestemmer hvordan valutaenheten vises og plassert.","يحدد كيف يتم عرض وحدة العملة ووضعها.","통화 단위는 도시 및 배치 방법을 결정합니다.","通貨単位が示され、配置されている方法を決定します。","קובע כיצד יחידת המטבע מוצגת והניחה.","Avgör hur valutaenheten visas och placeras.","Určuje, jak bude měnová jednotka zobrazeny a umístěny.","Определяет, как будет показано денежная единица и помещен.","Tumutukoy kung gaano ang pera unit ay ipinakita at inilagay.","Motino kon sa unsang paagi nga ang currency yunit gipakita ug gibutang."
"Determines the browser type used by the current user.","Bepaalt het type dat wordt gebruikt door de huidige gebruiker browser.","Determina el tipo de navegador que utiliza el usuario actual.","确定由当前用户使用的浏览器类型。","Legt den Browsertyp des aktuellen Benutzers verwendet.","Détermine le type de navigateur utilisé par l'utilisateur courant.","Determina il tipo di browser utilizzato dall'utente corrente.","Determina o tipo de navegador utilizado pelo usuário atual.","Καθορίζει τον τύπο του προγράμματος περιήγησης που χρησιμοποιείται από τον τρέχοντα χρήστη.","Określa rodzaj przeglądarki używanej przez bieżącego użytkownika.","Bestemmer den browser type, der anvendes af den aktuelle bruger.","Määrittää selaimen tyypin käyttämän nykyisen käyttäjän.","Bestemmer nettlesertype som brukes av den aktuelle brukeren.","يحدد نوع المتصفح الذي يستخدمه المستخدم الحالي.","현재 사용자가 사용하는 브라우저 유형을 결정합니다.","現在のユーザーが使用するブラウザの種類を決定します。","קובע את סוג הדפדפן שבשימוש המשתמש הנוכחי.","Bestämmer typ av webbläsare som används av den aktuella användaren.","Určuje typ prohlížeče používané aktuálního uživatele.","Определяет тип браузера, используемого для текущего пользователя.","Tinutukoy ang uri ng browser na ginamit ng mga kasalukuyang user.","Motino sa matang browser nga gigamit sa sa kasamtangan nga user."
"Determines the conversion type to be used.","Bepaalt de conversie te gebruiken type.","Determina el tipo de conversión que se utiliza.","确定要使用的转换类型。","Bestimmt die Umwandlung Typ verwendet werden.","Détermine le type de conversion à utiliser.","Determina il tipo di conversione da usare.","Determina o tipo de conversão a ser usado.","Καθορίζει τον τύπο μετατροπής που πρέπει να χρησιμοποιηθεί.","Określa typ konwersji do użycia.","Bestemmer konverteringen type, der skal anvendes.","Määrittää muuntaminen käytettävää tyyppiä.","Bestemmer konverteringstypen som skal brukes.","يحدد نوع التحويل لاستخدامها.","사용하는 변환 유형을 결정합니다.","使用する変換タイプを決定します。","קובע את סוג ההמרה לשמש.","Avgör vilken typ omvandling som ska användas.","Určuje typ konverze, které mají být použity.","Определяет тип преобразования, которые будут использоваться.","Ay tumutukoy sa uri ng conversion na gagamitin.","Motino sa matang sa pagkakabig nga gamiton."
"Determines the different options of report type to be applied.","Bepaalt de verschillende opties van het rapport van het type toe te passen.","Determina las diferentes opciones de tipo de informe que han de aplicarse.","确定要应用于报告类型的不同选择。","Bestimmt die verschiedenen Möglichkeiten der Bericht Typ angewandt werden.","Détermine les différentes options de type de rapport à appliquer.","Determina le diverse opzioni di tipo di rapporto da applicare.","Determina as diferentes opções de tipo de relatório a ser aplicada.","Καθορίζει τις διάφορες επιλογές του τύπου έκθεσης που πρέπει να εφαρμοστούν.","Określa różne opcje typu raportu mają być zastosowane.","Bestemmer de forskellige muligheder for rapport type, der skal anvendes.","Määrittää eri vaihtoehtoja raporttityypin sovellettava.","Bestemmer de ulike alternativene for rapporttype som skal brukes.","يحدد خيارات مختلفة من نوع التقرير ليتم تطبيقها.","리포트 형태의 다른 옵션이 적용될 결정한다.","レポートタイプの異なるオプションを適用するかを決定します。","קובע את האפשרויות השונות של סוג הדוח תיושמנה.","Bestämmer de olika alternativen för rapporttypen som skall tillämpas.","Určuje různé možnosti typu zprávy, které mají být použity.","Определяет различные варианты типа отчета, которые должны применяться.","Tinutukoy ang iba't ibang mga pagpipilian ng uri ng ulat na ilalapat.","Motino sa lain-laing mga mga kapilian sa matang report nga mi-apply."
"Determines the permission operation type.","Bepaalt toestemming operatie type.","Determina el tipo de operación de permiso.","确定权限操作类型。","Bestimmt die Erlaubnis Operationstyp.","Détermine le type d'opération de permission.","Determina il tipo di operazione permesso.","Determina o tipo de operação de permissão.","Καθορίζει τον τύπο λειτουργίας άδεια.","Określa typ operacji zgody.","Bestemmer tilladelse operation type.","Määrittää lupaa toiminnan tyyppi.","Bestemmer tillatelse drift type.","يحدد نوع العملية إذن.","권한 작업 유형을 결정합니다.","許可操作タイプを決定します。","קובע את סוג ניתוח רשות.","Avgör vilken typ tillstånd operation.","Určuje typ povolení k provozu.","Определяет тип операции разрешение.","Ay tumutukoy sa uri ng pahintulot na operasyon.","Motino sa matang sa pagtugot operasyon."
"Determines the popularity level to be applied.","Bepaalt de populariteitsniveau te passen.","Determina el nivel de popularidad que debe aplicarse.","确定要应用的普及程度。","Bestimmt die Popularität Ebene angewendet werden.","Détermine le niveau à appliquer de popularité.","Determina il livello di popolarità da applicare.","Determina o nível de popularidade para ser aplicada.","Καθορίζει το επίπεδο δημοτικότητας που πρέπει να εφαρμοστούν.","Określa poziom popularność mają być zastosowane.","Bestemmer popularitet niveau, der skal anvendes.","Määrittelee suosio taso voidaan soveltaa.","Bestemmer popularitet nivå for å bli brukt.","يحدد مستوى شعبية ليتم تطبيقها.","적용 할 수있는 인기의 수준을 결정합니다.","人気レベルを適用するかを決定します。","קובע את רמת הפופולריות להיות מיושם.","Bestämmer popularitet nivå som ska tillämpas.","Určuje úroveň popularity které mají být použity.","Определяет уровень популярности, которые должны применяться.","Tinutukoy ang pagiging popular antas na ilalapat.","Motino sa pagkapopular nga lebel nga apply."
"Determines the position of images when rendered.","Bepaalt de positie van beelden wanneer zij zijn verkregen.","Determina la posición de las imágenes cuando se representa.","渲染时确定图像的位置。","Bestimmt die Position der Bilder bei der Wiedergabe.","Détermine la position des images au rendu.","Determina la posizione delle immagini se fusi.","Determina a posição das imagens quando processado.","Καθορίζει τη θέση των εικόνων, όταν καθίστανται.","Określa położenie obrazów przy wytapianiu.","Bestemmer position billeder, når gengives.","Määrittää kuvan paikka, kun sulatettu.","Bestemmer posisjonen til bilder når gjengis.","يحدد الموقف من الصور عند تقديمها.","렌더링 할 때 이미지의 위치를​​ 결정합니다.","レンダリングされた画像の位置を決定します。","קובע את המיקום של תמונות כאשר שניתנו.","Bestämmer positionen för bilder när återges.","Určuje polohu obrazů při vykreslení.","Определяет положение изображений при визуализации.","Tinutukoy ang posisyon ng mga imahe kapag nai-render.","Motino sa posisyon sa mga larawan sa diha nga gihubad."
"Determines the size type of image when rendered.","Bepaalt de grootte type beeld wanneer zij zijn verkregen.","Determina el tipo de tamaño de la imagen cuando se representa.","渲染时确定大小类型的图像。","Bestimmt die Größe Art des Bildes bei der Wiedergabe.","Détermine le type de l'image en taille lors du rendu.","Determina il tipo di dimensione dell'immagine se fusi.","Determina o tipo de tamanho da imagem quando processado.","Καθορίζει τον τύπο μέγεθος της εικόνας όταν καθίστανται.","Określa typ rozmiar obrazu podczas renderowania.","Bestemmer størrelsen type billede, når gengives.","Määrittää koko kuvan tyyppi, kun sulatettu.","Bestemmer størrelsen type bilde når gjengis.","يحدد نوع حجم الصورة عند المقدمة.","렌더링 할 때 이미지의 크기 형식을 결정합니다.","描画されたときに画像のサイズのタイプを決定します。","קובע את סוג התמונה בגודל כאשר שניתנו.","Avgör storleken typ av bilden när återges.","Určuje typ velikosti obrazu při vykreslení.","Определяет тип размера изображения при визуализации.","Tumutukoy sa uri laki ng imahe kapag nai-render.","Motino sa matang gidak-on sa larawan sa diha nga gihubad."
"Determines the sort order of the forum when rendering.","Bepaalt de sorteervolgorde van het forum bij het renderen.","Determina el orden de clasificación del foro en la representación.","确定论坛的排序顺序渲染时。","Bestimmt die Sortierreihenfolge des Forums beim Rendern.","Détermine l'ordre de tri de la tribune lors du rendu.","Determina l'ordinamento del forum durante il rendering.","Determina a ordem de classificação do fórum quando o processamento.","Καθορίζει τη σειρά ταξινόμησης του φόρουμ κατά την απόδοση.","Decyduje kolejność sortowania forum podczas renderowania.","Bestemmer sorteringsrækkefølgen for forummet, når rendering.","Määrittää järjestystä foorumin kun tekee.","Bestemmer rekkefølgen i forumet ved gjengivelse.","يحدد ترتيب للمنتدى عند تقديم.","렌더링 포럼의 정렬 순서를 결정합니다.","レンダリングフォーラムのソート順を決定します。","קובע את סדר המיון של הפורום בעת בצוע.","Bestämmer sorteringsordningen för forumet vid rendering.","Určuje pořadí řazení fóra při vykreslování.","Определяет порядок сортировки форуме при рендеринге.","Tinutukoy ang sort order ng forum kapag ang rendering.","Motino sa matang kapunongan sa forum sa diha nga paghatag."
