"key","en","nl","es","zh-CN","de","fr","it","pt","el","pl","da","fi","no","ar","ko","ja","iw","sv","cs","ru","tl","ceb"

"ratings were NOT added successfully","ratings were NOT added successfully","ratings waren niet succesvol toegevoegd","Las clasificaciones no fueron agregados con éxito","收视率并没有成功添加","Bewertungen waren nicht erfolgreich hinzugefügt","notes ont été ajoutées avec succès PAS","rating non sono stati aggiunti con successo","As classificações não foram adicionados com sucesso","Οι αξιολογήσεις δεν προστέθηκαν με επιτυχία","ocena nie została dodana pomyślnie","vurderinger blev ikke tilføjet med succes","arviota ei lisätty onnistuneesti","rangeringer ble IKKE lagt til","لم يتم إضافة تصنيفات بنجاح","평가가 성공적으로 추가되지 않은","評価が正常に追加されませんでした","דירוגים לא נוספו בהצלחה","betyg blev inte lagts till","hodnocení nebyly úspěšně přidáno","Рейтинги были успешно добавлены НЕ","ratings ay HINDI matagumpay na naidagdag","ratings ang DILI dugang malampuson"

"%1 ratings added","%1 ratings added","%1 ratings toegevoegd","%1 clasificaciones añadido","添加％1评级","%1 Wertungen","%1 notes ajoutées","%1 Commenti Aggiunto","%1 classificações acrescentado","%1 αξιολογήσεις προστέθηκε","% Głosów: 1 dodał","%1 vurderinger tilføjet","%1 arviota lisättyä","%1 rangeringer lagt","٪ 1 تصنيفات","%1 등급 추가","追加された％1評価","דירוגי 1% הוסיפו","%1 betyg tillagda","Hodnocení: 1% přidané","%1 оценок добавил","%1 ratings idinagdag","%1 ratings dugang pa"

"Address added","Address added","Adres toegevoegd","Dirección añadió","地址添加","Adresse hinzugefügt","Adresse ajouté","Indirizzo aggiunto","Endereço acrescentado","Διεύθυνση προστέθηκε","Adres dodany","Adresse tilføjet","Osoite lisätty","Adresse lagt","عنوان بإضافة","주소 추가","住所を追加","כתובת הוסיפה","Adress tillsatt","Adresa přidané","Адрес добавил","Idinagdag Address","Address dugang pa"

"Address is modified","Address is modified","Adres gewijzigd","Dirección se modifica","地址被修改","Adresse wird geändert","Adresse est modifié","Indirizzo viene modificato","Endereço é modificado","Διεύθυνση έχει τροποποιηθεί","Adres jest modyfikowana","Adresse er modificeret","Osoite on muutettu","Adresse er endret","تم تعديل عنوان","주소 수정","アドレスが変更され","כתובת היא שונה","Adress ändras","Adresa je upraven","Адрес изменен","Address ay nabago","Address ang giusab"

"Address is not known","Address is not known","Adres is niet bekend","Dirección no se conoce","地址未知","Adresse nicht bekannt ist","Adresse On ne sait pas","Indirizzo non è noto","Endereço não é conhecido","Διεύθυνση δεν είναι γνωστή","Adres nie jest znana","Adresse er ikke kendt","Osoitetta ei ole tiedossa","Adresse er ikke kjent","عنوان غير معروف","주소는 알려져 있지 않다","アドレスが知られていません","כתובת לא ידועה","Adress är inte känd","Adresa není známa","Адрес не известно","Address ay hindi kilala","Address nga wala makaila"
"Address removed","Address removed","Adres verwijderd","Dirección retira","地址删除","Adresse entfernt","Adresse retirée","Indirizzo rimosso","Endereço removido","Διεύθυνση αφαιρεθεί","Usunąć adres","Adresse fjernet","Osoite poistettu","Adresse fjernet","عنوان إزالة","주소 제거","住所削除","הוסרה כתובת","Adress avlägsnades","Adresa odstraněn","Адрес удален","Dahil Address","Address gikuha"
